"bifparone"	"time.min"	"time.max"	"resource.min"	"resource.max"	"juv_bio.min"	"juv_bio.max"	"ad_bio.min"	"ad_bio.max"	"total_bio.min"	"total_bio.max"	"juv_number.min"	"juv_number.max"	"ad_number.min"	"ad_number.max"	"total_number.min"	"total_number.max"	"ingestion.min"	"ingestion.max"	"birthrate.min"	"birthrate.max"	"rep_rate.min"	"rep_rate.max"	"mat_rate.min"	"mat_rate.max"	"age_mat.min"	"age_mat.max"	"juv_surv.min"	"juv_surv.max"	"max_size.min"	"max_size.max"	"max_age.min"	"max_age.max"	"period1.min"	"period1.max"	"period2.min"	"period2.max"
0.62	230000	230000	0.564244844	2.8057971338	0.1109406182	11.349405369	0.0834286168	17.5574888263	5.6261252951	18.5943737906	0.6993569258	52.6677739733	0.0083882338	10.9109407567	7.5576489207	52.7079695517	2.7172778621	2.9441297737	0.0617134256	5.9767639151	0.0061713426	0.5976763915	0	0.1633664112	105.4999022885	582.4999104871	1.306627e-07	0.2054587966	9.9456251021	9.9745243081	754.4912695943	1082.4989938525	478.0758727869	478.0758727869	497.9941666667	497.9941666667
0.63	240000	240000	0.5704257388	2.6867246719	0.1123966313	11.4025962552	0.0855845878	17.3833477947	5.7803186582	18.4205080549	0.7496975618	53.9993629991	0.008606662	10.8564727084	7.5624581548	54.0420345743	2.7293398791	2.9435020822	0.0626796012	5.8474768676	0.0062679601	0.5847476868	0	0.1634443714	107.4998938847	582.4999072756	1.260361e-07	0.1993868889	9.9440836405	9.9737547131	758.491324765	1084.498930261	475.0431956778	475.0431956778	503.1706666667	503.1706666667
0.64	250000	250000	0.5769015624	2.5750943431	0.2059333335	11.3425219675	0.0891134253	17.189091073	5.9368170634	18.2429208159	0.897340973	55.3413202088	0.0089634318	10.7977508119	7.5713932865	55.3866406681	2.7406538792	2.942844017	0.0636527943	5.716453014	0.0063652794	0.5716453014	0	0.1621337462	109.4998959725	580.4999069961	2.563267e-07	0.1934912104	9.9425014191	9.9729350094	762.4914366107	1086.4988017854	472.2883893171	472.2883893171	509.0256666667	509.0256666667
0.65	260000	260000	0.5837996503	2.4702721555	0.1779330852	11.413120203	0.0911627659	17.0185957385	6.0956579742	18.0577436559	0.924158567	56.6938886817	0.0091714964	10.7349882702	7.5789938433	56.7416707557	2.7512707166	2.9421461476	0.0646393244	5.5750760464	0.0064639324	0.5575076046	0	0.160322764	111.4998977609	580.4999054429	1.293356e-07	0.1877754651	9.9407539777	9.9720789222	765.4915295112	1087.498967977	470.0796622631	470.0796622631	515.5301666667	515.5301666667
0.66	270000	270000	0.5903396806	2.3717181485	0.1539625476	11.4146943866	0.0941109864	16.850375553	6.2570098203	17.8866498315	0.9438488381	58.0571406759	0.0094702834	10.6685780287	7.5918162307	58.1079964998	2.7612572641	2.9414790521	0.0656117255	5.4514944456	0.0065611726	0.5451494446	0	0.160958536	113.4998829412	580.4998998795	1.183853e-07	0.1822259656	9.9389258896	9.9711933024	769.4915633057	1089.4988702794	467.6277905406	467.6277905406	523.0216666667	523.0216666667
0.67	280000	280000	0.5972968142	2.2788816983	0.1777553076	11.4215660538	0.0970700627	16.6693911301	6.4209533785	17.7084533446	1.0378233609	59.4300051061	0.0097704041	10.5984496002	7.6087417151	59.4840497938	2.7706642456	2.9407743969	0.0665920247	5.3174332191	0.0066592025	0.5317433219	0	0.1581984311	115.4998814858	579.4998992252	1.160547e-07	0.1768403843	9.9370526544	9.9702528806	773.4916472585	1090.4989819862	465.4702013546	465.4702013546	528.8318333333	528.8318333333
0.68	290000	290000	0.6044856713	2.1913293252	0.2425910365	11.3773097386	0.1008740182	16.4761738103	6.5875692581	17.5283405372	1.1848321783	60.8117067259	0.0101559475	10.5246394274	7.6309308352	60.8687307906	2.7795340992	2.9400448472	0.067580425	5.17611105	0.0067580425	0.517611105	0	0.1569618623	117.499881043	578.4998960698	1.145394e-07	0.1716139709	9.9351046979	9.9692358857	777.4917500084	1092.4988478384	463.4987674836	463.4987674836	535.2791666667	535.2791666667
0.69	3e+05	3e+05	0.6116860655	2.1086531109	0.2021794231	11.4286545439	0.1033458911	16.3150849866	6.7569024253	17.3523657755	1.2151366415	62.2028296442	0.0104075766	10.4476666937	7.6571393839	62.2637331528	2.7879101329	2.9393149387	0.0685381997	5.0466348069	0.00685382	0.5046634807	0	0.159103848	119.4998695526	577.499897041	1.126495e-07	0.1665420243	9.9329566364	9.9682121867	781.4917819745	1093.4989765997	461.4930482819	461.4930482819	542.9176666667	542.9176666667
0.7	310000	310000	0.6191340757	2.0304908869	0.2242622146	11.4308203598	0.1066538839	16.1354726037	6.9290627974	17.1744987382	1.3341551423	63.6005906107	0.0107438215	10.367115598	7.6907765311	63.6652744691	2.7958271162	2.9385597269	0.0695001931	4.9096538407	0.0069500193	0.4909653841	0	0.1574217061	121.4998667806	576.499896298	1.111289e-07	0.1616199751	9.9306957191	9.9671073025	784.4919018835	1095.4988453607	459.6003736376	459.6003736376	550.4456666667	550.4456666667
0.71	320000	320000	0.6267634344	1.9565150225	0.2531498754	11.4340129596	0.1100573988	15.9534229533	7.104089371	16.9968082398	1.4555347419	65.0039216383	0.0110900739	10.2831317541	7.732332576	65.0727119918	2.8033195567	2.9377866115	0.0704524575	4.7717147826	0.0070452457	0.4771714783	0	0.1565988805	123.4998657083	575.4998952309	1.096221e-07	0.1568433948	9.9283493806	9.9659454134	788.492001075	1096.4989514371	457.7539771891	457.7539771891	558.6626666667	558.6626666667
